split,condition,pde,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,decay_turb,13,3,0.847312064965566,0.06396054740685808,0.15888680787560197,0.688425257089964,1.006198872841168
full_test,all,decay_turb,14,3,0.8713625756899516,0.07071453884114193,0.17566465270213724,0.6956979229878143,1.0470272283920887
full_test,all,decay_turb,15,3,0.8933956535657247,0.07694403209953285,0.1911395718302088,0.7022560817355159,1.0845352253959335
full_test,all,decay_turb,16,3,0.9162428005536398,0.08329025415118373,0.20690446135566093,0.7093383391979788,1.1231472619093008
full_test,all,decay_turb,17,3,0.9380702304840088,0.08839272606338545,0.219579704255751,0.7184905262282578,1.1576499347397597
full_test,all,decay_turb,18,3,0.9622413921356201,0.09454256907128077,0.2348567611928185,0.7273846309428016,1.1970981533284386
full_test,all,decay_turb,19,3,0.9843164308865866,0.10122685822944665,0.2514614559666565,0.7328549749199301,1.235777886853243
full_test,all,decay_turb,20,3,1.0059337306022644,0.10721472331463136,0.2663361374374526,0.7395975931648118,1.272269868039717
full_test,all,decay_turb,21,3,1.0268475484848023,0.11188899541608462,0.2779476730395112,0.7488998754452911,1.3047952215243135
full_test,all,decay_turb,22,3,1.0459258262316387,0.11484663474944856,0.28529485644518565,0.7606309697864531,1.3312206826768243
full_test,all,decay_turb,23,3,1.063200212319692,0.11703394148283904,0.290728427588699,0.772471784730993,1.353928639908391
