model_seed,split,condition,aggregation,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
44,full_test,all,macro,0.04188838469795883,0.0710409543539087,0.10095656159178665,0.13426872912483911,0.16782985679494836,0.19759921736083927,0.22929512293388446,0.2663051440070073,0.3079577180060248,0.3497089122484128,0.3913166498703261,0.4301816682145,0.4609336601073543,0.4869091341706614,0.5139554916570584,0.5417762777395547,0.5692681821001073,0.5966691586996118,0.6199477167303363,0.6369240460110208,0.6534492331122359,0.6704660049950084,0.6841081874445081,0.6967488809302449,0.7088238296409448,0.7199804768214624,0.7344255332772931,0.74696985963732,0.7560864808410406
44,full_test,all,micro,0.04593018175486256,0.07660271108150482,0.10536289641962332,0.13462713491390732,0.16334841468754938,0.18983307929599985,0.21672005537678213,0.24567392061738408,0.2770789618001265,0.3085736278225394,0.3396071406322367,0.3683670735359192,0.39259684008710527,0.41425962963524987,0.43559649355271285,0.45723487282500547,0.47894076091401716,0.500686440117219,0.5199519180550295,0.5358756426853292,0.5510234362237594,0.5658217320021461,0.5785697432826548,0.5905902753858006,0.6019136953353882,0.6123810170678532,0.6241613836148205,0.6343950976343716,0.6423943696302526
44,id_ood,all,macro,0.06451727650767448,0.12325229542634263,0.16874503295600807,0.21426408854769724,0.2571012163230406,0.28783925875924,0.3176555198440754,0.35317582617592963,0.38679801998964325,0.42121733252713883,0.4522143036516663,0.47653287352105367,0.5016548384735786,0.5248959847038088,0.5458909194746049,0.5686255411969291,0.5870691317748401,0.6015147036002353,0.6169248947910234,0.6313404158439512,0.6420894050909803,0.6545080410109625,0.6664661103798672,0.67638378624433,0.6846286495721419,0.6953866549956254,0.7061858563836103,0.7135375816058489,0.7217833506905177
44,id_ood,all,micro,0.06451727650767448,0.12325229542634261,0.16874503295600804,0.21426408854769727,0.25710121632304067,0.28783925875923994,0.3176555198440754,0.3531758261759297,0.38679801998964325,0.42121733252713883,0.4522143036516663,0.4765328735210537,0.5016548384735787,0.5248959847038088,0.5458909194746049,0.5686255411969291,0.58706913177484,0.6015147036002353,0.6169248947910234,0.6313404158439512,0.6420894050909802,0.6545080410109626,0.6664661103798672,0.67638378624433,0.6846286495721418,0.6953866549956254,0.7061858563836104,0.7135375816058489,0.7217833506905176
44,id_ood,id,macro,0.04860635277102975,0.08240546576459618,0.1246658710799381,0.17198658592122443,0.2146098989920289,0.24517307748251102,0.266043538848559,0.30006680900559707,0.33981671958577403,0.3737084429491968,0.40440915079385625,0.4299479197783797,0.4557065878282575,0.4759651560555486,0.4990293196603363,0.5253480271089311,0.5396352254000364,0.5511328250754113,0.5658950319184977,0.5776574468495799,0.5879647654353404,0.6021694054498392,0.6127445228836116,0.624077622796975,0.63216083109671,0.6449800951808107,0.6598368542743663,0.6688863717603917,0.6779706725010685
44,id_ood,id,micro,0.04860635277102975,0.08240546576459618,0.12466587107993808,0.17198658592122443,0.2146098989920289,0.24517307748251102,0.2660435388485591,0.30006680900559707,0.339816719585774,0.37370844294919686,0.40440915079385625,0.42994791977837976,0.4557065878282575,0.4759651560555486,0.49902931966033637,0.525348027108931,0.5396352254000365,0.5511328250754113,0.5658950319184977,0.5776574468495799,0.5879647654353404,0.6021694054498392,0.6127445228836116,0.624077622796975,0.63216083109671,0.6449800951808107,0.6598368542743664,0.6688863717603917,0.6779706725010685
44,id_ood,ood_low,macro,0.07531151010234859,0.13130345688584977,0.1883882347348274,0.24516697834227602,0.29145010619186884,0.3268913528060211,0.3633122759706834,0.40030401901287194,0.43432436817709136,0.4708609513792337,0.5092619951157009,0.5357410960337694,0.5590397081538744,0.5864786480863889,0.6073716973849371,0.6275011676491475,0.6488602532475601,0.6631790459448217,0.6770076269612593,0.6931819626513649,0.7047620070915597,0.7164273335068833,0.7308780176966798,0.7391550608125388,0.7460479219170179,0.7560047031033273,0.7626960858994839,0.7665636448883543,0.7744743099399641
44,id_ood,ood_low,micro,0.07531151010234859,0.13130345688584974,0.1883882347348274,0.245166978342276,0.2914501061918689,0.32689135280602116,0.3633122759706834,0.40030401901287194,0.43432436817709136,0.4708609513792337,0.5092619951157009,0.5357410960337695,0.5590397081538743,0.5864786480863889,0.6073716973849371,0.6275011676491475,0.6488602532475602,0.6631790459448216,0.6770076269612593,0.6931819626513649,0.7047620070915596,0.7164273335068834,0.7308780176966798,0.7391550608125388,0.7460479219170177,0.7560047031033272,0.7626960858994839,0.7665636448883543,0.7744743099399641
44,id_ood,ood_high,macro,0.0696339693614373,0.15604796539992097,0.19318099122713595,0.22563870002826056,0.2652436330476228,0.2914533340463451,0.32361074953394775,0.3591566582520803,0.3862529709643009,0.419082605517378,0.44297177505259416,0.46390957356083623,0.49021823660415764,0.5122441703490184,0.5312717388950142,0.553027418314242,0.5727118949095409,0.5902322472310534,0.6078720574869829,0.6231818245906456,0.6335414691882976,0.6449273646462197,0.6557757836930891,0.6659186897324582,0.675677174884899,0.685175211114042,0.6960246644768061,0.7051627083736307,0.7129050528301911
44,id_ood,ood_high,micro,0.0696339693614373,0.15604796539992094,0.19318099122713595,0.22563870002826056,0.2652436330476228,0.29145333404634516,0.32361074953394775,0.35915665825208026,0.3862529709643009,0.419082605517378,0.4429717750525942,0.4639095735608363,0.49021823660415764,0.5122441703490183,0.5312717388950142,0.5530274183142418,0.5727118949095408,0.5902322472310534,0.6078720574869829,0.6231818245906456,0.6335414691882975,0.6449273646462197,0.6557757836930892,0.665918689732458,0.675677174884899,0.6851752111140419,0.696024664476806,0.7051627083736307,0.7129050528301912
