dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_delta,ood_low,3,0.0478725,0.0884076,0.156801,0.237273,0.323087,0.410334,0.498202,0.635772,0.806719,0.96237,1.08466,1.16993,1.2355,1.2868,1.30772,1.31072,1.30543,1.28665,1.25388,1.21619,1.18842,1.16834,1.15205,1.13798,1.12264,1.11068,1.10226,1.09711,1.09295
gs_delta,ood_high,3,0.0408333,0.104591,0.198753,0.295749,0.399823,0.496165,0.618282,0.718707,0.826504,0.936397,0.909021,0.870877,0.894303,0.903129,0.895269,0.904226,0.919644,0.933671,0.941692,0.949324,0.952075,0.951612,0.950758,0.94849,0.948436,0.949289,0.950003,0.951013,0.95187
gs_epsilon,id,3,0.0180648,0.0289669,0.0412223,0.0566394,0.0747391,0.0934549,0.114349,0.140106,0.167092,0.192372,0.213511,0.229084,0.243117,0.259187,0.277167,0.294416,0.311806,0.329484,0.345675,0.362782,0.381277,0.399042,0.415033,0.429679,0.443729,0.457762,0.47138,0.484227,0.496803
gs_epsilon,ood_low,3,0.0198678,0.0288445,0.0365051,0.046229,0.060432,0.0797955,0.1033,0.130512,0.161935,0.195424,0.223448,0.244547,0.260261,0.272361,0.282512,0.291933,0.301583,0.312196,0.3242,0.338243,0.354959,0.375938,0.404203,0.438216,0.47481,0.509364,0.537805,0.560387,0.577614
gs_epsilon,ood_high,3,0.0265154,0.0442799,0.0640163,0.0904861,0.126702,0.172734,0.220698,0.264499,0.300776,0.328418,0.346981,0.359773,0.372903,0.389333,0.408195,0.428068,0.44628,0.462546,0.476843,0.488588,0.50066,0.515685,0.534815,0.558583,0.585352,0.611797,0.636524,0.659361,0.681199
gs_theta,id,3,0.0179107,0.0582186,0.187297,0.302507,0.358433,0.387563,0.424671,0.508005,0.604414,0.700259,0.779167,0.849651,0.903775,0.941909,0.97699,1.00906,1.02862,1.03935,1.04314,1.04797,1.04936,1.04778,1.04683,1.0444,1.04055,1.03949,1.04053,1.0416,1.04294
gs_theta,ood_low,3,0.0422176,0.125883,0.324546,0.514797,0.630112,0.684292,0.744451,0.801664,0.862348,0.915444,0.967074,1.00835,1.05056,1.09297,1.13829,1.17371,1.19053,1.19074,1.18062,1.17314,1.16704,1.15879,1.15421,1.1521,1.15003,1.14945,1.15001,1.15039,1.15094
gs_theta,ood_high,3,0.0497344,0.23942,0.370265,0.367252,0.401987,0.512131,0.584244,0.625337,0.663456,0.714755,0.763296,0.806231,0.859596,0.905126,0.949518,0.992731,1.02803,1.04406,1.05177,1.05035,1.04748,1.04422,1.04203,1.0413,1.03856,1.03711,1.03738,1.03868,1.03963
gs_iota,id,3,0.0498513,0.0695577,0.0805258,0.0935711,0.11383,0.129676,0.161339,0.200548,0.239782,0.293015,0.346189,0.427703,0.487139,0.534591,0.605858,0.659691,0.686486,0.711636,0.743541,0.755855,0.759601,0.769465,0.777825,0.778467,0.783814,0.791201,0.799174,0.807398,0.815668
gs_iota,ood_low,3,0.0632698,0.104405,0.128648,0.171604,0.209411,0.240796,0.291529,0.338105,0.382833,0.43947,0.508784,0.570245,0.632293,0.709049,0.764544,0.812061,0.856814,0.881119,0.90039,0.917283,0.923329,0.927596,0.936474,0.942831,0.949477,0.956733,0.963659,0.969761,0.975676
gs_iota,ood_high,3,0.0543306,0.107497,0.0866162,0.102716,0.166025,0.148161,0.177365,0.231009,0.266948,0.322522,0.38052,0.454312,0.528511,0.575608,0.621407,0.688792,0.713796,0.731515,0.761258,0.771874,0.772915,0.781126,0.791131,0.792681,0.796082,0.803335,0.810649,0.818949,0.826873
gs_kappa,id,3,0.0321481,0.0483449,0.0642949,0.0809421,0.0999509,0.1234,0.149366,0.175262,0.203932,0.235719,0.26835,0.312121,0.357102,0.391639,0.432121,0.477199,0.515581,0.548009,0.577843,0.604463,0.631426,0.660205,0.687437,0.713716,0.740762,0.765138,0.787168,0.806801,0.825228
gs_kappa,ood_low,3,0.0484683,0.0828613,0.113574,0.144309,0.176356,0.21076,0.246096,0.275477,0.312624,0.350732,0.388638,0.42799,0.466703,0.500345,0.534103,0.574184,0.615156,0.64662,0.677487,0.709682,0.739006,0.765988,0.789807,0.808852,0.826612,0.846871,0.863516,0.875986,0.887167
gs_kappa,ood_high,3,0.0428972,0.0694779,0.0944432,0.118558,0.143607,0.172125,0.20686,0.246245,0.286266,0.32853,0.373547,0.413859,0.45393,0.496765,0.537469,0.571946,0.605531,0.642484,0.678299,0.711069,0.742651,0.775346,0.807534,0.835768,0.859474,0.879383,0.899115,0.919927,0.941905
sh,id,3,0.0657136,0.135864,0.193362,0.230042,0.253039,0.273923,0.298665,0.33027,0.370942,0.416673,0.456681,0.48633,0.509585,0.5312,0.549975,0.561282,0.563596,0.559382,0.552707,0.547039,0.544244,0.544598,0.547349,0.551434,0.556025,0.560652,0.565094,0.569297,0.573291
sh,ood_low,3,0.132283,0.274961,0.416714,0.534772,0.615979,0.669435,0.713534,0.762363,0.82468,0.899166,0.976657,1.05292,1.12955,1.20882,1.29135,1.37526,1.45345,1.51343,1.54592,1.55051,1.53257,1.49815,1.45208,1.39882,1.34293,1.2882,1.2369,1.18986,1.14712
sh,ood_high,3,0.0695848,0.125923,0.165352,0.194363,0.219308,0.242808,0.266227,0.290551,0.318544,0.35191,0.387952,0.422449,0.451934,0.474687,0.491349,0.504221,0.514958,0.524285,0.53265,0.54039,0.547603,0.554291,0.560505,0.566448,0.572504,0.578877,0.585534,0.592448,0.599545
decay_turb,id,3,0.136178,0.221375,0.277637,0.313906,0.34267,0.365417,0.380787,0.393308,0.401675,0.406794,0.413204,0.41482,0.409752,0.402026,0.391359,0.378139,0.365662,0.356843,0.352932,0.353976,0.359079,0.366015,0.372258,0.376491,0.37867,0.379123,0.378075,0.375764,0.372823
decay_turb,ood_low,3,0.19834,0.324298,0.411592,0.473806,0.521292,0.559804,0.587401,0.605806,0.616921,0.625842,0.634797,0.639251,0.64055,0.636017,0.626971,0.61731,0.608014,0.600625,0.594551,0.586783,0.5766,0.565998,0.555904,0.548805,0.546853,0.548399,0.551537,0.555952,0.56089
decay_turb,ood_high,3,0.109734,0.177082,0.222688,0.251348,0.272842,0.286182,0.29371,0.300788,0.305153,0.307218,0.310218,0.309914,0.304728,0.296505,0.286617,0.275669,0.264439,0.254118,0.245465,0.238647,0.234048,0.232122,0.232773,0.235354,0.238951,0.24263,0.245653,0.247578,0.248236
kolm_flow,id,3,0.0720052,0.0883871,0.10717,0.139655,0.197366,0.281141,0.361054,0.436538,0.511469,0.584675,0.641528,0.669046,0.678268,0.705182,0.746286,0.803844,0.862165,0.908562,0.946335,0.985517,1.0045,1.0132,1.02931,1.04727,1.06055,1.08975,1.13125,1.16166,1.18015
kolm_flow,ood_low,3,0.140801,0.169965,0.201605,0.245842,0.303189,0.351332,0.395696,0.449972,0.502872,0.555425,0.607838,0.649918,0.682752,0.736156,0.794559,0.850769,0.892871,0.934115,0.982541,1.02842,1.05843,1.09488,1.12305,1.16518,1.20939,1.23991,1.24868,1.25573,1.26425
kolm_flow,ood_high,3,0.0522015,0.0743858,0.0968617,0.120335,0.15264,0.194789,0.2328,0.280842,0.334525,0.372815,0.414537,0.462978,0.518728,0.573567,0.608193,0.642224,0.693872,0.750812,0.808353,0.876272,0.930661,0.963897,0.978181,0.984611,1.0237,1.09009,1.11843,1.14232,1.16799
macro_avg,id,51,0.0503623,0.0899772,0.14042,0.193989,0.242169,0.278919,0.309022,0.350601,0.397908,0.442497,0.480462,0.510579,0.537513,0.55796,0.585401,0.617599,0.639411,0.65618,0.674345,0.68782,0.702783,0.717203,0.730588,0.744982,0.757098,0.775408,0.795729,0.809564,0.8228
micro_avg,id,51,0.0503623,0.0899772,0.14042,0.193989,0.242169,0.278919,0.309022,0.350601,0.397908,0.442497,0.480462,0.510579,0.537513,0.55796,0.585401,0.617599,0.639411,0.65618,0.674345,0.68782,0.702783,0.717203,0.730588,0.744982,0.757098,0.775408,0.795729,0.809564,0.8228
macro_avg,ood_low,51,0.0798499,0.144512,0.209192,0.271363,0.323874,0.364328,0.405782,0.451829,0.494304,0.538988,0.588447,0.627875,0.662113,0.697486,0.727787,0.760263,0.792229,0.814354,0.8331,0.851965,0.864717,0.880413,0.901369,0.917373,0.929657,0.941486,0.947531,0.952565,0.960199
micro_avg,ood_low,51,0.0798499,0.144512,0.209192,0.271363,0.323874,0.364328,0.405782,0.451829,0.494304,0.538988,0.588447,0.627875,0.662113,0.697486,0.727787,0.760263,0.792229,0.814354,0.8331,0.851965,0.864717,0.880413,0.901369,0.917373,0.929657,0.941486,0.947531,0.952565,0.960199
macro_avg,ood_high,51,0.0669191,0.156505,0.207284,0.232334,0.248153,0.256693,0.299326,0.35472,0.414335,0.465767,0.483009,0.477619,0.491843,0.524858,0.572849,0.622458,0.653147,0.641792,0.634508,0.651814,0.681632,0.722481,0.755164,0.758634,0.752004,0.759925,0.777355,0.811394,0.848112
micro_avg,ood_high,51,0.0669191,0.156505,0.207284,0.232334,0.248153,0.256693,0.299326,0.35472,0.414335,0.465767,0.483009,0.477619,0.491843,0.524858,0.572849,0.622458,0.653147,0.641792,0.634508,0.651814,0.681632,0.722481,0.755164,0.758634,0.752004,0.759925,0.777355,0.811394,0.848112
