model_seed,split,condition,pde,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
42,id_ood,ood_high,hyp,0.11314406866828601,0.17987549553314844,0.22672367095947266,0.2636350393295288,0.2953377018372218,0.3241931051015854,0.3515135794878006,0.3781977246205012,0.4050190250078837,0.43274543682734173,0.4621698458989461,0.49408899744351703,0.5292572180430094,0.5683372418085734,0.6118781765302023,0.6603220105171204,0.7140239874521891,0.7732639114061991,0.8382532596588135,0.9091273347536722,0.9859347939491272,1.0686182181040447,1.157028059164683,1.2509484986464183,1.3501171072324116,1.4542333682378132,1.5629168550173442,1.6757487853368123,1.7922967672348022
42,id_ood,all,burgers,0.03789167178587781,0.0568856762515174,0.07747776061296463,0.09862975734803411,0.11957832715577549,0.1405557058751583,0.16077561593717998,0.18054816871881485,0.19949200252691904,0.2178301132387585,0.23544209864404467,0.25257531305154163,0.26937255097760093,0.28582070767879486,0.3019641902711656,0.31739353471332127,0.33226635058720905,0.34664378729131484,0.3605233364635044,0.37380862567159867,0.38656126459439594,0.3986534708076053,0.41005673011144,0.4211508532365163,0.4318337341149648,0.442613552014033,0.4531530373626285,0.46352969937854344,0.47347886032528347
42,id_ood,id,burgers,0.03649205528199673,0.05510245822370052,0.0755065269768238,0.09663885210951169,0.11766138051946957,0.13875977198282877,0.15909495949745178,0.17898097137610117,0.19803494463364282,0.21647039304176965,0.23417535175879797,0.2514413396517436,0.2682988742987315,0.2848475178082784,0.30108724037806195,0.3166356335083644,0.33162953952948254,0.34607794880867004,0.36000215510527295,0.3733568886915843,0.386155645052592,0.3982893228530884,0.4097258547941844,0.4208177328109741,0.4314953585465749,0.44233042001724243,0.45283280809720355,0.4632045427958171,0.47316057483355206
42,id_ood,ood_low,burgers,0.04658811849852403,0.06689849682152271,0.08874537174900372,0.11083150903383891,0.13234001646439233,0.1537147412697474,0.17410770058631897,0.194024624923865,0.2130423958102862,0.23149884740511575,0.24913626164197922,0.26623305181662243,0.28322065869967145,0.2997015366951625,0.31589573125044507,0.331202432513237,0.3458492507537206,0.36001862585544586,0.3737192650636037,0.386756956577301,0.39933739105860394,0.41121118267377216,0.422406663497289,0.4334164559841156,0.44405163327852887,0.45472556352615356,0.46519341071446735,0.47547049323717755,0.4852912624677022
42,id_ood,ood_high,burgers,0.030594839093585808,0.0486560712258021,0.0681813657283783,0.08841891710956891,0.10873358324170113,0.12919259443879128,0.14912418276071548,0.16863891234000525,0.18739866216977438,0.20552110175291696,0.2230147272348404,0.24005154271920523,0.2565981497367223,0.2729131033023198,0.28890958428382874,0.3043425679206848,0.3193202614784241,0.33383481204509735,0.34784860412279767,0.3613120714823405,0.3741907278696696,0.38645992676417035,0.39803773164749146,0.409218430519104,0.41995420058568317,0.4307846824328105,0.441432923078537,0.4519140621026357,0.461984783411026
42,id_ood,all,kdv,0.03995861019939184,0.06291186747451623,0.08552190040548642,0.10680186707112524,0.12656361444128883,0.14331524901919895,0.1579303907023536,0.17156081977817747,0.18505212664604187,0.19932089249293009,0.21521603729989794,0.23321509609619775,0.2533598989248276,0.27535802125930786,0.2986762523651123,0.3227130439546373,0.34697436292966205,0.3709951357709037,0.3942141665352715,0.41611823439598083,0.4363589750395881,0.4548890110519197,0.4719714969396591,0.48804012437661487,0.5034742934836282,0.5184696449173821,0.5330341590775384,0.5470113688045077,0.5602043138609992
42,id_ood,id,kdv,0.03995920748760303,0.06291247842212518,0.08552257095774014,0.10680269449949265,0.12656468401352564,0.14331655825177828,0.15793189903100333,0.1715624878803889,0.18505399922529855,0.19932292898495993,0.21521824349959692,0.23321746786435446,0.2533624470233917,0.27536070843537647,0.2986791382233302,0.3227161069711049,0.346977561712265,0.37099844217300415,0.3942175755898158,0.4161217163006465,0.43636249502499896,0.45489252110322315,0.47197497884432477,0.4880435069402059,0.5034776280323664,0.5184728900591532,0.533037414153417,0.5470144848028818,0.5602073967456818
42,id_ood,ood_low,kdv,0.03997711682071289,0.06293122284114361,0.08554506053527196,0.10683051993449529,0.12659948567549387,0.14335858697692552,0.15798009683688483,0.1716163605451584,0.18511333564917246,0.1993875876069069,0.21528815229733786,0.23329263428846994,0.2534429927666982,0.2754467378060023,0.29877063632011414,0.322812815507253,0.3470788399378459,0.37110358476638794,0.3943258424599965,0.41623219350973767,0.43647420903046924,0.45500456790129346,0.47208646933237713,0.4881538450717926,0.50358647108078,0.5185802082220713,0.5331429640452067,0.5471180180708567,0.5603084961573283
42,id_ood,ood_high,kdv,0.03993949759751558,0.06289192102849483,0.08549805109699567,0.10677236939469974,0.12652667363484701,0.14327063659826914,0.15787917375564575,0.1715035711725553,0.1849890649318695,0.1992521584033966,0.21514171858628592,0.23313518116871515,0.2532742768526077,0.27526657780011493,0.29857898751894635,0.32261021931966144,0.3468666772047679,0.3708833207686742,0.3940990964571635,0.4160007933775584,0.4362402359644572,0.45476995408535004,0.4718530923128128,0.4879229813814163,0.5033587664365768,0.5183558166027069,0.5329221785068512,0.546901524066925,0.5600970387458801
42,id_ood,all,ks,0.023051659473114543,0.04371215982569589,0.06955450690454906,0.10226644823948543,0.14359328316317665,0.19258858097924125,0.24760911530918545,0.30648910999298096,0.36812498834398055,0.4320942196581099,0.4970715112156338,0.5615784857008193,0.6243255866898431,0.6858365072144402,0.7470366954803467,0.8069161309136285,0.8640556666586134,0.9169888695081075,0.9662409888373481,1.0164881414837308,1.071609252028995,1.1331095165676541,1.1967847148577373,1.251576542854309,1.2918641434775457,1.320188906457689,1.3363265328937106,1.3411978880564372,1.3437309794955783
42,id_ood,id,ks,0.018166785438855488,0.03669536610444387,0.06085455045104027,0.09057148297627766,0.1282939836382866,0.17349606255690256,0.2263724853595098,0.28405038515726727,0.3448472023010254,0.4094684620698293,0.473869909842809,0.534613033135732,0.5928330222765604,0.6523158152898153,0.715650220712026,0.779033879439036,0.8379661242167155,0.889484723409017,0.9319682717323303,0.9698267181714376,1.0061548550923665,1.0440556406974792,1.0842637221018474,1.1262608369191487,1.167241056760152,1.201876441637675,1.229970932006836,1.253976543744405,1.2783553997675579
