split,condition,pde,step,model_seed_count,mean,sample_std,ci95_half_width,ci95_low,ci95_high
full_test,all,burgers,25,3,0.33386126041412356,0.025656551894411548,0.06373440811359728,0.2701268523005263,0.3975956685277208
full_test,all,burgers,26,3,0.35020890990893044,0.027464972161934362,0.06822677309878865,0.2819821368101418,0.4184356830077191
full_test,all,burgers,27,3,0.3666033089160919,0.029355667564033867,0.07292352084851879,0.2936797880675731,0.43952682976461066
full_test,all,burgers,28,3,0.3831346038977305,0.03122696365867899,0.07757207804702025,0.30556252585071025,0.4607066819447508
full_test,all,burgers,29,3,0.399757802883784,0.0330265988963761,0.082042619808323,0.317715183075461,0.481800422692107
full_test,all,decay_turb,1,3,0.24730105082194012,0.007822665245313538,0.019432577742041192,0.22786847307989894,0.2667336285639813
full_test,all,decay_turb,2,3,0.4154163308938344,0.011526138203337342,0.02863251458140166,0.38678381631243275,0.44404884547523604
full_test,all,decay_turb,3,3,0.5300181206067404,0.014099753558157837,0.03502572953977173,0.49499239106696863,0.565043850146512
full_test,all,decay_turb,4,3,0.609547065893809,0.01686072804225282,0.041884370376807506,0.5676626955170015,0.6514314362706165
full_test,all,decay_turb,5,3,0.6617297275861104,0.02109991067002068,0.052415083809312,0.6093146437767983,0.7141448113954224
full_test,all,decay_turb,6,3,0.6969864161809286,0.02420321533462942,0.06012411995762175,0.6368622962233068,0.7571105361385504
full_test,all,decay_turb,7,3,0.7265872311592102,0.030096878338143663,0.07476479048481777,0.6518224406743924,0.801352021644028
full_test,all,decay_turb,8,3,0.7534912959734599,0.0356160625437869,0.08847520410798301,0.6650160918654768,0.8419665000814429
full_test,all,decay_turb,9,3,0.7776523081461589,0.04076554605598708,0.1012672302965175,0.6763850778496414,0.8789195384426765
full_test,all,decay_turb,10,3,0.8022647706667582,0.04733949208986961,0.11759781755409422,0.6846669531126639,0.9198625882208524
full_test,all,decay_turb,11,3,0.8293099832534789,0.054682088781510645,0.1358378388977469,0.693472144355732,0.9651478221512259
full_test,all,decay_turb,12,3,0.8546826235453288,0.06308339208657963,0.1567078332654628,0.697974790279866,1.0113904568107916
full_test,all,decay_turb,13,3,0.8831765095392864,0.07179026177890342,0.1783368966191923,0.7048396129200941,1.0615134061584788
full_test,all,decay_turb,14,3,0.9119731680552166,0.08008322561696546,0.19893776083124867,0.7130354072239679,1.1109109288864651
full_test,all,decay_turb,15,3,0.9399489045143127,0.08708427008606114,0.2163293194183548,0.7236195850959579,1.1562782239326674
full_test,all,decay_turb,16,3,0.9661603434880575,0.09402688517854217,0.2335757313875402,0.7325846121005173,1.1997360748755976
full_test,all,decay_turb,17,3,0.9922833275794983,0.10228656913180216,0.25409392378271817,0.7381894037967802,1.2463772513622164
full_test,all,decay_turb,18,3,1.0182364098230998,0.10886817224913029,0.27044353229004386,0.747792877533056,1.2886799421131436
full_test,all,decay_turb,19,3,1.044143579006195,0.11490685975907398,0.2854444636627848,0.7586991153434102,1.32958804266898
full_test,all,decay_turb,20,3,1.06927414894104,0.12264131740527888,0.30465792158142,0.76461622735962,1.37393207052246
full_test,all,decay_turb,21,3,1.093587307135264,0.13131927929680612,0.3262151739770279,0.7673721331582362,1.4198024811122918
full_test,all,decay_turb,22,3,1.116349997520447,0.14009250065783804,0.34800906401323073,0.7683409335072162,1.4643590615336777
full_test,all,decay_turb,23,3,1.1372793690363565,0.14719792964555678,0.3656599281195681,0.7716194409167885,1.5029392971559246
