pde,condition,step,pde_transformer_raw,pde_ttt_raw_3seed_mean,pde_ttt_raw_3seed_std,mean_difference,winning_seed_count
gs_gamma,ood_low,10,0.794877,0.8007767730289035,0.02192553129994725,0.005899773028903581,2
gs_gamma,ood_low,20,1.16154,1.1282384792963664,0.00734189592938693,-0.03330152070363357,3
gs_gamma,ood_low,29,1.26952,1.246022409862942,0.00490807780691646,-0.023497590137057767,3
gs_gamma,ood_high,1,0.109674,0.10328787896368237,0.030518893834585364,-0.006386121036317624,1
gs_gamma,ood_high,10,0.498922,0.4233620911836624,0.1267846807940886,-0.0755599088163376,2
gs_gamma,ood_high,20,0.833456,0.6492614249388377,0.17217236449715873,-0.1841945750611623,3
gs_gamma,ood_high,29,0.928097,0.7788652976353964,0.17754343398120748,-0.1492317023646036,3
gs_delta,id,1,0.0224271,0.023108256359895035,0.001573935142120675,0.0006811563598950349,1
gs_delta,id,10,0.930622,0.8073987364768982,0.02498095834888737,-0.12322326352310176,3
gs_delta,id,20,1.12539,1.1223222679562037,0.013482099545224217,-0.0030677320437962527,2
gs_delta,id,29,1.00494,1.0230903029441833,0.010347630110890006,0.018150302944183405,0
gs_delta,ood_low,1,0.0464458,0.04668991143504777,0.0023189549108026198,0.00024411143504776225,1
gs_delta,ood_low,10,1.09241,0.9794999096128675,0.014910592592640735,-0.11291009038713251,3
gs_delta,ood_low,20,1.23485,1.218124959203932,0.005156759740321026,-0.016725040796067885,3
gs_delta,ood_low,29,1.10634,1.1021875672870214,0.009908826424821554,-0.004152432712978789,2
gs_delta,ood_high,1,0.0288678,0.0399623968534999,0.0009358305086103806,0.011094596853499901,0
gs_delta,ood_high,10,0.862238,0.9248138003879123,0.015243353273554201,0.0625758003879124,0
gs_delta,ood_high,20,0.957062,0.9540199703640408,0.004685011037585829,-0.0030420296359590835,2
gs_delta,ood_high,29,0.955208,0.9604649345080057,0.014512368593655975,0.005256934508005795,2
gs_epsilon,id,1,0.0234283,0.018038509206639335,0.0009207793999431216,-0.005389790793360666,3
gs_epsilon,id,10,0.234811,0.15239371110995603,0.04025636161610699,-0.08241728889004396,3
gs_epsilon,id,20,0.441766,0.33294329709476894,0.04246342614171107,-0.10882270290523106,3
gs_epsilon,id,29,0.662955,0.512893259525299,0.048863274282783836,-0.15006174047470092,3
gs_epsilon,ood_low,1,0.0332691,0.022921563436587567,0.00273992477911562,-0.010347536563412436,3
gs_epsilon,ood_low,10,0.383264,0.2556230442391501,0.05279875492631301,-0.12764095576084986,3
gs_epsilon,ood_low,20,0.54019,0.4011816912227207,0.057299842386610476,-0.1390083087772793,3
gs_epsilon,ood_low,29,0.813895,0.6387289696269565,0.065524399127508,-0.17516603037304354,3
gs_epsilon,ood_high,1,0.0211206,0.02648073993623253,0.0045484425857461735,0.005360139936232533,0
gs_epsilon,ood_high,10,0.142755,0.27311964664194316,0.04793906558495385,0.13036464664194317,0
gs_epsilon,ood_high,20,0.333021,0.46882434354888064,0.04257407581806795,0.13580334354888063,0
gs_epsilon,ood_high,29,0.49439,0.6432390809059143,0.04915616728546612,0.1488490809059143,0
gs_theta,id,1,0.0308129,0.01816948523951897,0.002154834142275698,-0.012643414760481033,3
gs_theta,id,10,0.89893,0.7225499086909823,0.03364167850704495,-0.17638009130901763,3
gs_theta,id,20,1.05781,1.0601704981591966,0.023440668522261104,0.0023604981591967,2
gs_theta,id,29,1.01703,1.0487667719523113,0.029818878157892373,0.031736771952311095,0
gs_theta,ood_low,1,0.0471315,0.045036306397782395,0.004560302208067652,-0.0020951936022175995,2
gs_theta,ood_low,10,0.98089,0.9346628255314297,0.018562738960920807,-0.04622717446857039,3
gs_theta,ood_low,20,1.13019,1.1504260169135199,0.026756815150635816,0.02023601691351991,1
gs_theta,ood_low,29,1.0701,1.116161730554369,0.04585652508533073,0.04606173055436876,1
gs_theta,ood_high,1,0.027003,0.047531892855962064,0.0019276225625607872,0.02052889285596207,0
gs_theta,ood_high,10,0.67124,0.7189571658770243,0.0068204576221861084,0.04771716587702438,0
gs_theta,ood_high,20,0.988868,1.0552134646309745,0.023083408418881398,0.06634546463097464,0
gs_theta,ood_high,29,0.984298,1.033246682749854,0.031726829400206255,0.0489486827498542,0
gs_iota,id,1,0.0527067,0.05208096653223033,0.0027571005629396105,-0.0006257334677696689,2
gs_iota,id,10,0.392642,0.3004409538375007,0.04318853321736534,-0.09220104616249931,3
gs_iota,id,20,0.73679,0.736693647172716,0.03889566964981408,-9.635282728400381e-05,1
gs_iota,id,29,0.754387,0.7649828791618347,0.0518674789681263,0.010595879161834687,1
gs_iota,ood_low,1,0.0640339,0.06859397598438789,0.005123550304274391,0.004560075984387897,1
