dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_epsilon,ood_high,3,0.0230049,0.0359722,0.0482292,0.0633208,0.0858566,0.117432,0.149216,0.177028,0.200261,0.219154,0.235352,0.25097,0.268707,0.29024,0.312718,0.334659,0.353337,0.367365,0.377184,0.384473,0.391733,0.401818,0.415247,0.430699,0.448354,0.466302,0.484863,0.504479,0.525691
gs_theta,id,3,0.0182344,0.0504352,0.159387,0.266034,0.328934,0.360597,0.398024,0.483309,0.585141,0.683924,0.773362,0.847076,0.899796,0.938636,0.973562,1.0071,1.02792,1.04017,1.04541,1.05063,1.05175,1.05367,1.0512,1.04979,1.04825,1.04729,1.04815,1.04938,1.05052
gs_theta,ood_low,3,0.044676,0.12667,0.31633,0.512223,0.639877,0.700206,0.754019,0.809013,0.869068,0.922282,0.974264,1.01414,1.05084,1.08995,1.12992,1.1581,1.17047,1.17296,1.16388,1.15334,1.14559,1.13832,1.13347,1.1305,1.12748,1.12607,1.12651,1.12708,1.12764
gs_theta,ood_high,3,0.0478818,0.241613,0.375577,0.386021,0.423759,0.514635,0.577348,0.615089,0.652496,0.710306,0.760872,0.80386,0.857197,0.90328,0.952282,0.9978,1.02925,1.04028,1.04521,1.04549,1.04256,1.0387,1.03513,1.03376,1.02953,1.02748,1.02799,1.02871,1.02939
gs_iota,id,3,0.0496948,0.067461,0.0752815,0.0822656,0.0959068,0.107691,0.131703,0.166482,0.20176,0.253487,0.306521,0.381761,0.446199,0.492416,0.559435,0.610616,0.632132,0.647359,0.668388,0.670106,0.66586,0.669546,0.668741,0.663724,0.662639,0.664968,0.667837,0.670538,0.67337
gs_iota,ood_low,3,0.0635377,0.102715,0.126023,0.169689,0.201765,0.228812,0.283255,0.329178,0.366457,0.427019,0.502966,0.558513,0.619133,0.701018,0.754302,0.795998,0.838028,0.859697,0.871186,0.885511,0.890429,0.892763,0.897812,0.899669,0.901726,0.905541,0.909472,0.912911,0.915932
gs_iota,ood_high,3,0.0545222,0.107301,0.0848129,0.0990003,0.166055,0.134936,0.16003,0.220171,0.240942,0.29248,0.35243,0.420832,0.493105,0.540316,0.583957,0.644089,0.665774,0.677482,0.697409,0.699355,0.69274,0.693874,0.697767,0.694512,0.694989,0.699571,0.702686,0.706693,0.709792
gs_kappa,id,3,0.0274887,0.0387662,0.0497961,0.0620476,0.077247,0.0992398,0.122604,0.141737,0.164171,0.187677,0.21247,0.247476,0.288708,0.328193,0.366846,0.405723,0.444203,0.479568,0.507922,0.539508,0.57393,0.603771,0.629651,0.661122,0.696354,0.727407,0.751677,0.771639,0.789291
gs_kappa,ood_low,3,0.0444305,0.0756385,0.103802,0.131961,0.162056,0.194732,0.230462,0.261506,0.299351,0.338482,0.377182,0.415763,0.451467,0.484403,0.522576,0.564358,0.602775,0.631116,0.659573,0.69501,0.728513,0.758107,0.782116,0.802391,0.819925,0.832275,0.844686,0.854533,0.8605
gs_kappa,ood_high,3,0.0414404,0.067576,0.0905107,0.113058,0.135518,0.162536,0.195156,0.230836,0.268183,0.306467,0.348484,0.389095,0.432206,0.474538,0.514412,0.552616,0.588142,0.620713,0.652491,0.688659,0.722808,0.754238,0.782958,0.809273,0.83313,0.854064,0.87642,0.89972,0.916385
sh,id,3,0.0644643,0.137757,0.206215,0.259249,0.294921,0.319564,0.33881,0.356625,0.378112,0.404443,0.430329,0.453891,0.479542,0.510234,0.54371,0.57559,0.602725,0.623789,0.639092,0.650343,0.659358,0.667287,0.674878,0.682507,0.690192,0.697791,0.705165,0.712211,0.718856
sh,ood_low,3,0.0868637,0.185187,0.292122,0.393251,0.466562,0.507908,0.530555,0.544192,0.55171,0.557368,0.568383,0.593168,0.639196,0.708598,0.797436,0.900268,1.01246,1.129,1.23945,1.32899,1.38781,1.41305,1.40833,1.38184,1.34298,1.29958,1.2563,1.21517,1.17686
sh,ood_high,3,0.0796188,0.143408,0.190224,0.225985,0.256761,0.28529,0.313247,0.34206,0.375626,0.416391,0.459053,0.496937,0.52799,0.553062,0.5734,0.590452,0.605207,0.618056,0.629351,0.639392,0.648385,0.656549,0.664073,0.671111,0.677975,0.684888,0.691816,0.698733,0.705603
decay_turb,id,3,0.138404,0.226767,0.287248,0.323716,0.350515,0.372306,0.387903,0.400565,0.407768,0.410027,0.412759,0.410422,0.402017,0.392134,0.380606,0.3682,0.356834,0.348253,0.341847,0.337941,0.336651,0.336051,0.334049,0.329334,0.321738,0.311796,0.300554,0.289422,0.280063
decay_turb,ood_low,3,0.199657,0.328701,0.418532,0.481055,0.525524,0.561047,0.586657,0.604057,0.613899,0.621219,0.629343,0.631388,0.629539,0.624494,0.617157,0.612708,0.608034,0.602612,0.596838,0.586873,0.571779,0.554818,0.538515,0.525077,0.51551,0.508988,0.505508,0.504875,0.505726
decay_turb,ood_high,3,0.117315,0.190276,0.239342,0.267792,0.28871,0.302694,0.31135,0.319206,0.323253,0.324607,0.326933,0.325478,0.318555,0.30984,0.300343,0.291063,0.283105,0.277295,0.273092,0.269744,0.267253,0.265874,0.265708,0.266515,0.267712,0.268591,0.268741,0.268246,0.267519
kolm_flow,id,3,0.0657209,0.074661,0.0839509,0.0997486,0.132968,0.176192,0.216031,0.265827,0.335276,0.393347,0.445368,0.483219,0.502117,0.527159,0.572483,0.615842,0.662061,0.694504,0.707686,0.73048,0.767103,0.823352,0.88109,0.958546,1.01729,1.05382,1.09307,1.11678,1.12649
kolm_flow,ood_low,3,0.136306,0.160522,0.182746,0.205505,0.23186,0.260894,0.288828,0.317354,0.357403,0.395955,0.442335,0.485227,0.535569,0.601444,0.651626,0.704792,0.753546,0.790418,0.81157,0.862565,0.933013,0.999375,1.03669,1.05255,1.07652,1.08838,1.10118,1.1159,1.14402
kolm_flow,ood_high,3,0.0449762,0.0572628,0.0672622,0.0800008,0.100036,0.12481,0.154849,0.199216,0.249056,0.286596,0.318083,0.338595,0.367732,0.397059,0.432351,0.466177,0.498343,0.539592,0.585092,0.614625,0.647001,0.691867,0.73084,0.779459,0.822073,0.846638,0.88219,0.919865,0.986489
macro_avg,id,51,0.0477414,0.0842391,0.131828,0.180223,0.223721,0.253258,0.273971,0.308026,0.348995,0.387549,0.421802,0.449484,0.475128,0.495236,0.522801,0.554008,0.574977,0.592137,0.612326,0.627268,0.645665,0.666611,0.68256,0.701757,0.717997,0.737239,0.759379,0.774315,0.787889
micro_avg,id,51,0.0477414,0.0842391,0.131828,0.180223,0.223721,0.253258,0.273971,0.308026,0.348995,0.387549,0.421802,0.449484,0.475128,0.495236,0.522801,0.554008,0.574977,0.592137,0.612326,0.627268,0.645665,0.666611,0.68256,0.701757,0.717997,0.737239,0.759379,0.774315,0.787889
macro_avg,ood_low,51,0.0766635,0.137056,0.196924,0.255768,0.304906,0.342434,0.380954,0.422245,0.459729,0.499385,0.544165,0.578546,0.609393,0.64495,0.676204,0.709969,0.744844,0.770606,0.791804,0.816351,0.839086,0.861026,0.886097,0.905281,0.919709,0.93018,0.935064,0.940812,0.949715
micro_avg,ood_low,51,0.0766635,0.137056,0.196924,0.255768,0.304906,0.342434,0.380954,0.422245,0.459729,0.499385,0.544165,0.578546,0.609393,0.64495,0.676204,0.709969,0.744844,0.770606,0.791804,0.816351,0.839086,0.861026,0.886097,0.905281,0.919709,0.93018,0.935064,0.940812,0.949715
macro_avg,ood_high,51,0.0655569,0.15332,0.20194,0.225646,0.238354,0.242633,0.280535,0.336922,0.389087,0.437338,0.456945,0.449744,0.464335,0.499632,0.550151,0.594467,0.621345,0.609315,0.605819,0.628809,0.66096,0.706916,0.736838,0.735133,0.725223,0.744173,0.771257,0.814625,0.849406
micro_avg,ood_high,51,0.0655569,0.15332,0.20194,0.225646,0.238354,0.242633,0.280535,0.336922,0.389087,0.437338,0.456945,0.449744,0.464335,0.499632,0.550151,0.594467,0.621345,0.609315,0.605819,0.628809,0.66096,0.706916,0.736838,0.735133,0.725223,0.744173,0.771257,0.814625,0.849406
