dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
ks,2,id,2026072203,"{""Domain Extent"": 70.0}",{},0.012653491459786892,0.02305285632610321,0.03433779999613762,0.046898599714040756,0.06198761984705925,0.08014869689941406,0.10230910778045654,0.12900744378566742,0.15941224992275238,0.1887127012014389,0.21727533638477325,0.25732338428497314,0.3081183433532715,0.36669912934303284,0.42436110973358154,0.47437405586242676,0.5172573924064636,0.5501368045806885,0.582197368144989,0.6238515973091125,0.680579423904419,0.7505994439125061,0.8250672221183777,0.8938890099525452,0.9480212926864624,0.9876858592033386,1.0216540098190308,1.0555487871170044,1.0836856365203857
ks,3,ood_low,2026072201,"{""Domain Extent"": 9.5}",{},0.015215684659779072,0.026872742921113968,0.03774867206811905,0.04890787601470947,0.06027986481785774,0.0731465294957161,0.08549119532108307,0.0990481823682785,0.11113131046295166,0.12372628599405289,0.13475488126277924,0.14598681032657623,0.1557125449180603,0.16559568047523499,0.17402268946170807,0.18252839148044586,0.18960581719875336,0.19681206345558167,0.20269690454006195,0.20880618691444397,0.21371357142925262,0.21894550323486328,0.22309628129005432,0.22766762971878052,0.2312745451927185,0.23538020253181458,0.23863011598587036,0.24243509769439697,0.24548354744911194
ks,4,ood_low,2026072202,"{""Domain Extent"": 9.5}",{},0.01832517795264721,0.033745113760232925,0.04809967055916786,0.06360683590173721,0.08005239814519882,0.09752503037452698,0.11567405611276627,0.13291004300117493,0.15004496276378632,0.1658594161272049,0.18103504180908203,0.1950250267982483,0.20818717777729034,0.2203158587217331,0.23160460591316223,0.24202369153499603,0.2517462968826294,0.26077958941459656,0.2693074643611908,0.2772882878780365,0.28491488099098206,0.29208362102508545,0.2990095317363739,0.30555447936058044,0.31196168065071106,0.3180815577507019,0.3241761028766632,0.3300911486148834,0.33610019087791443
ks,5,ood_low,2026072203,"{""Domain Extent"": 9.5}",{},0.018006915226578712,0.032709356397390366,0.04618017375469208,0.060400862246751785,0.07465309649705887,0.0904158353805542,0.10619622468948364,0.12260285019874573,0.13805726170539856,0.15351049602031708,0.16779981553554535,0.18181303143501282,0.19471974670886993,0.207271009683609,0.218985453248024,0.23044443130493164,0.24135908484458923,0.2521425485610962,0.2626287043094635,0.273098349571228,0.28348207473754883,0.29396072030067444,0.30453410744667053,0.3152937889099121,0.32628315687179565,0.3375328779220581,0.3491051495075226,0.3610000014305115,0.37327370047569275
ks,6,ood_high,2026072201,"{""Domain Extent"": 136.5}",{},0.03506433218717575,0.061493098735809326,0.09403512626886368,0.13385647535324097,0.18073010444641113,0.23147068917751312,0.28194814920425415,0.33517181873321533,0.39487558603286743,0.4609055519104004,0.529625654220581,0.5984483361244202,0.668058454990387,0.7358047366142273,0.7984154224395752,0.8552125096321106,0.9070726037025452,0.9496689438819885,0.9819343090057373,1.009706735610962,1.035823106765747,1.0603381395339966,1.0853883028030396,1.110085368156433,1.1330671310424805,1.1528987884521484,1.1705797910690308,1.188297152519226,1.2080632448196411
ks,7,ood_high,2026072202,"{""Domain Extent"": 136.5}",{},0.028353676199913025,0.05245937407016754,0.08468025177717209,0.1269925981760025,0.17964129149913788,0.2410115897655487,0.30650028586387634,0.37254419922828674,0.4352681636810303,0.49195775389671326,0.5440093874931335,0.5905672907829285,0.6332405805587769,0.6750597953796387,0.7180820107460022,0.7618702054023743,0.8026889562606812,0.8388620615005493,0.8705312013626099,0.8982011675834656,0.9214461445808411,0.9381848573684692,0.9482281804084778,0.9546704888343811,0.9594196081161499,0.962587833404541,0.96625816822052,0.9731631278991699,0.9839029312133789
ks,8,ood_high,2026072203,"{""Domain Extent"": 136.5}",{},0.028560468927025795,0.052538350224494934,0.08365056663751602,0.12129053473472595,0.16488070785999298,0.21458156406879425,0.2703225910663605,0.3293149471282959,0.38730117678642273,0.44274553656578064,0.4958716034889221,0.5475099086761475,0.5933059453964233,0.6374771595001221,0.6824575662612915,0.7266812920570374,0.7708761692047119,0.8151426911354065,0.8561257123947144,0.8920407295227051,0.9233672022819519,0.95083087682724,0.9729021191596985,0.9925661087036133,1.0144712924957275,1.0377846956253052,1.058534860610962,1.0749404430389404,1.0889140367507935
fisher,0,id,2026072201,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.031088152900338173,0.04965074360370636,0.06303057074546814,0.07379760593175888,0.08321115374565125,0.09197164326906204,0.10047697275876999,0.108918197453022,0.117318294942379,0.12556464970111847,0.13345371186733246,0.14073535799980164,0.1471349447965622,0.15235739946365356,0.15609566867351532,0.1580636352300644,0.15804581344127655,0.15594403445720673,0.15178968012332916,0.14571267366409302,0.1379084289073944,0.1286124587059021,0.11808060109615326,0.10657844692468643,0.09435621649026871,0.08161455392837524,0.06853821873664856,0.055422015488147736,0.04279886186122894
fisher,1,id,2026072202,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.019891520962119102,0.03905292600393295,0.0612688884139061,0.08935500681400299,0.1253797858953476,0.17048780620098114,0.224827840924263,0.2865915596485138,0.35207435488700867,0.41603490710258484,0.47248557209968567,0.5162208080291748,0.5442441701889038,0.5564090013504028,0.5550130009651184,0.5437884330749512,0.5267870426177979,0.5073543787002563,0.4874360263347626,0.46801015734672546,0.4496893286705017,0.4327773451805115,0.41727110743522644,0.4030362069606781,0.3899296522140503,0.37781381607055664,0.36656662821769714,0.3560824692249298,0.3462676703929901
fisher,2,id,2026072203,"{""Diffusivity"": 0.01005, ""Reactivity"": 10.0}",{},0.011069033294916153,0.02213691920042038,0.03347468748688698,0.04507144168019295,0.05693273991346359,0.06907203793525696,0.08150903135538101,0.09426990896463394,0.10738890618085861,0.12090831995010376,0.1348767727613449,0.14934371411800385,0.16435042023658752,0.17991802096366882,0.19603772461414337,0.21265895664691925,0.22967810928821564,0.24693575501441956,0.26422587037086487,0.28131553530693054,0.297958642244339,0.3138970732688904,0.3288554847240448,0.3425281345844269,0.3545527160167694,0.36451154947280884,0.37202998995780945,0.37692949175834656,0.3793237805366516
