dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_theta,id,3,0.0161557,0.0516531,0.171212,0.291842,0.360489,0.383662,0.437591,0.526129,0.618543,0.706144,0.793138,0.867993,0.92665,0.974448,1.01455,1.0457,1.06529,1.07651,1.08251,1.08719,1.08534,1.08404,1.08277,1.08124,1.07849,1.07844,1.07954,1.08048,1.08107
gs_theta,ood_low,3,0.0425937,0.121032,0.309053,0.510507,0.638923,0.705747,0.76587,0.81875,0.875225,0.936053,0.987527,1.02803,1.06722,1.11186,1.14792,1.1659,1.17444,1.17193,1.1637,1.15721,1.1521,1.14507,1.14027,1.13587,1.13209,1.13021,1.13086,1.132,1.13335
gs_theta,ood_high,3,0.0467089,0.227818,0.346295,0.357051,0.418184,0.521895,0.591966,0.627638,0.667621,0.71529,0.763695,0.815233,0.870259,0.916714,0.969859,1.01885,1.05142,1.06653,1.07593,1.08034,1.08184,1.0771,1.0741,1.07228,1.06743,1.06449,1.06339,1.06222,1.0613
gs_iota,id,3,0.0512277,0.0655873,0.0760431,0.0859638,0.105051,0.119909,0.145951,0.18033,0.211734,0.261447,0.310928,0.382753,0.448325,0.500004,0.570707,0.621789,0.647597,0.670179,0.689572,0.691935,0.6893,0.696492,0.698361,0.693638,0.692518,0.695827,0.701125,0.706655,0.712009
gs_iota,ood_low,3,0.0690222,0.101479,0.129647,0.178938,0.214514,0.241411,0.301826,0.35213,0.386399,0.446008,0.52255,0.577148,0.633246,0.715713,0.7722,0.806723,0.851952,0.875507,0.888851,0.902869,0.912429,0.920652,0.930425,0.934451,0.937178,0.940552,0.944734,0.948499,0.951811
gs_iota,ood_high,3,0.0539839,0.104131,0.0838686,0.102126,0.178761,0.14327,0.166163,0.232351,0.237252,0.282178,0.341306,0.400449,0.472478,0.523429,0.572502,0.632391,0.656875,0.6744,0.697423,0.700559,0.694881,0.698134,0.703315,0.699763,0.698414,0.701959,0.706649,0.712156,0.717096
gs_kappa,id,3,0.0344138,0.0482692,0.0615938,0.0771609,0.0977459,0.125037,0.148765,0.16836,0.193605,0.224314,0.262315,0.308424,0.360301,0.413274,0.466434,0.521234,0.572334,0.615615,0.651693,0.689255,0.728817,0.763898,0.795633,0.824537,0.85032,0.869799,0.889788,0.908808,0.921307
gs_kappa,ood_low,3,0.0498422,0.077485,0.100445,0.124339,0.152569,0.184011,0.21325,0.241157,0.279439,0.319991,0.35747,0.403432,0.448692,0.493905,0.537829,0.580013,0.624387,0.665579,0.698791,0.727966,0.755577,0.78513,0.812873,0.833869,0.849913,0.861803,0.872873,0.880745,0.880374
gs_kappa,ood_high,3,0.0477961,0.0780394,0.10566,0.136663,0.170421,0.208306,0.25045,0.295985,0.340914,0.38564,0.428328,0.47306,0.518828,0.558811,0.590491,0.620465,0.657751,0.697586,0.739609,0.777842,0.811992,0.843699,0.872771,0.901005,0.924877,0.94552,0.968767,0.992624,1.01059
sh,id,3,0.0647416,0.140122,0.215763,0.279742,0.327632,0.362304,0.387449,0.406442,0.421721,0.435242,0.448353,0.461772,0.476201,0.492388,0.510891,0.531458,0.553124,0.575098,0.5965,0.616235,0.633522,0.648331,0.661034,0.671767,0.680677,0.688156,0.694764,0.701063,0.707417
sh,ood_low,3,0.0793903,0.169926,0.270384,0.368154,0.44546,0.495507,0.525148,0.542605,0.55005,0.548378,0.542419,0.538477,0.542572,0.559806,0.593458,0.644599,0.710843,0.785834,0.862277,0.93513,1.00158,1.05926,1.10591,1.13993,1.16081,1.16955,1.16838,1.16003,1.1472
sh,ood_high,3,0.100311,0.172567,0.219641,0.252027,0.278012,0.300818,0.321093,0.339662,0.360577,0.386991,0.418074,0.451029,0.482076,0.509466,0.532879,0.552757,0.56978,0.584519,0.597502,0.609122,0.619751,0.629883,0.639794,0.649525,0.659058,0.668306,0.677156,0.685653,0.693949
decay_turb,id,3,0.128813,0.209725,0.261155,0.290435,0.311673,0.325618,0.33292,0.340004,0.340493,0.340852,0.342079,0.339071,0.335977,0.331816,0.329423,0.331606,0.336419,0.341603,0.347934,0.35656,0.367918,0.381396,0.396123,0.411685,0.428217,0.446329,0.46598,0.486538,0.507121
decay_turb,ood_low,3,0.188015,0.307162,0.38665,0.439223,0.478699,0.507346,0.527713,0.544228,0.549606,0.553689,0.556025,0.559078,0.564419,0.568947,0.570929,0.572241,0.570348,0.56973,0.574217,0.57483,0.569901,0.56386,0.561892,0.566694,0.579285,0.595711,0.610909,0.621406,0.627367
decay_turb,ood_high,3,0.110066,0.17789,0.223234,0.251219,0.272376,0.286488,0.296155,0.306597,0.312722,0.319195,0.326207,0.33033,0.334744,0.340419,0.347973,0.358342,0.371809,0.387153,0.403799,0.422646,0.444441,0.468986,0.495292,0.522169,0.548758,0.57484,0.600295,0.625228,0.650101
kolm_flow,id,3,0.0702697,0.0921842,0.134739,0.204042,0.292871,0.400644,0.514146,0.63791,0.742214,0.840601,0.917207,0.982147,1.02825,1.05732,1.10511,1.16585,1.2201,1.2491,1.24238,1.22562,1.21787,1.235,1.26389,1.26936,1.2619,1.23688,1.20771,1.19456,1.21485
kolm_flow,ood_low,3,0.141727,0.176505,0.228945,0.304958,0.39226,0.48499,0.57247,0.660158,0.750963,0.842552,0.928457,0.978158,1.0233,1.05863,1.08747,1.13093,1.14061,1.15377,1.17095,1.18123,1.18782,1.18817,1.18191,1.1906,1.21653,1.23732,1.22759,1.2084,1.2101
kolm_flow,ood_high,3,0.0526748,0.081943,0.13681,0.20906,0.287771,0.384456,0.491069,0.590969,0.670007,0.726171,0.781586,0.857871,0.928984,0.981204,1.01529,1.03189,1.06584,1.10829,1.13242,1.14202,1.15681,1.19185,1.23016,1.25693,1.26656,1.266,1.27003,1.26845,1.25965
macro_avg,id,51,0.0490564,0.0847213,0.132785,0.18511,0.233429,0.26997,0.300476,0.342379,0.38763,0.429284,0.467297,0.498957,0.531359,0.555432,0.582554,0.614026,0.635288,0.6497,0.663554,0.672285,0.68216,0.693915,0.706183,0.716327,0.720508,0.730867,0.745089,0.755206,0.763132
micro_avg,id,51,0.0490564,0.0847213,0.132785,0.18511,0.233429,0.26997,0.300476,0.342379,0.38763,0.429284,0.467297,0.498957,0.531359,0.555432,0.582554,0.614026,0.635288,0.6497,0.663554,0.672285,0.68216,0.693915,0.706183,0.716327,0.720508,0.730867,0.745089,0.755206,0.763132
macro_avg,ood_low,51,0.0766559,0.134355,0.193675,0.253766,0.304508,0.344484,0.386121,0.429177,0.468346,0.508823,0.551247,0.581873,0.607804,0.634962,0.657806,0.681801,0.705415,0.720562,0.735369,0.750081,0.76068,0.771182,0.786392,0.798996,0.811551,0.823046,0.830448,0.838811,0.850261
micro_avg,ood_low,51,0.0766559,0.134355,0.193675,0.253766,0.304508,0.344484,0.386121,0.429177,0.468346,0.508823,0.551247,0.581873,0.607804,0.634962,0.657806,0.681801,0.705415,0.720562,0.735369,0.750081,0.76068,0.771182,0.786392,0.798996,0.811551,0.823046,0.830448,0.838811,0.850261
macro_avg,ood_high,51,0.0716441,0.160145,0.1992,0.236,0.28235,0.31716,0.359337,0.397906,0.427124,0.465641,0.496593,0.523747,0.551708,0.57329,0.595607,0.61673,0.636043,0.658518,0.683846,0.700568,0.71642,0.732911,0.744911,0.754978,0.768092,0.782426,0.795473,0.804182,0.813258
micro_avg,ood_high,51,0.0716441,0.160145,0.1992,0.236,0.28235,0.31716,0.359337,0.397906,0.427124,0.465641,0.496593,0.523747,0.551708,0.57329,0.595607,0.61673,0.636043,0.658518,0.683846,0.700568,0.71642,0.732911,0.744911,0.754978,0.768092,0.782426,0.795473,0.804182,0.813258
