dataset,condition,count,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
sh,ood_low,3,0.0762191,0.147994,0.221825,0.298471,0.365341,0.410988,0.44033,0.463321,0.482788,0.499363,0.515279,0.535428,0.565891,0.609869,0.666275,0.733255,0.809727,0.892303,0.974871,1.05241,1.12139,1.17526,1.20492,1.20881,1.19357,1.16793,1.13875,1.10974,1.08247
sh,ood_high,3,0.0949175,0.171194,0.221829,0.253389,0.276406,0.295743,0.312269,0.327164,0.345058,0.370352,0.402759,0.438887,0.474201,0.504816,0.529207,0.548435,0.563643,0.575657,0.58587,0.595309,0.604419,0.613214,0.621574,0.62955,0.637332,0.644919,0.652089,0.65875,0.664996
decay_turb,id,3,0.140728,0.233096,0.294679,0.330605,0.35746,0.379517,0.395284,0.407889,0.417592,0.422605,0.428578,0.431032,0.426709,0.419468,0.410503,0.400804,0.392104,0.385834,0.382112,0.381819,0.384181,0.387998,0.391011,0.39184,0.390912,0.388576,0.384839,0.379913,0.374612
decay_turb,ood_low,3,0.204322,0.340372,0.434899,0.498727,0.545709,0.584511,0.61388,0.63094,0.641205,0.647232,0.655947,0.66001,0.657027,0.650689,0.644029,0.641783,0.639456,0.63633,0.632641,0.623826,0.609981,0.596357,0.584434,0.573868,0.565865,0.560671,0.557708,0.557849,0.560557
decay_turb,ood_high,3,0.116386,0.190819,0.239193,0.266149,0.286145,0.300586,0.30989,0.318717,0.325655,0.328427,0.331229,0.331582,0.326209,0.317468,0.307431,0.29661,0.285969,0.276358,0.268275,0.261577,0.256045,0.251969,0.249466,0.2483,0.247946,0.247675,0.246785,0.244785,0.241482
kolm_flow,id,3,0.0736415,0.0866773,0.102539,0.125946,0.165273,0.226282,0.282334,0.3383,0.408498,0.467647,0.51537,0.546158,0.568807,0.599077,0.63614,0.67395,0.72609,0.783008,0.832899,0.883783,0.941696,0.999793,1.0527,1.10822,1.14744,1.16881,1.18763,1.18215,1.14226
kolm_flow,ood_low,3,0.145248,0.17354,0.207066,0.23626,0.270377,0.303217,0.338523,0.375416,0.412509,0.460125,0.521147,0.568032,0.618763,0.683413,0.735242,0.779242,0.831656,0.889077,0.936257,0.98498,1.04545,1.09894,1.12721,1.14569,1.17163,1.19211,1.18535,1.1879,1.18855
kolm_flow,ood_high,3,0.0511107,0.0668878,0.0803074,0.0964952,0.118445,0.144877,0.174322,0.2108,0.256357,0.301642,0.343332,0.379854,0.42991,0.480511,0.5403,0.597704,0.641814,0.679417,0.71927,0.772361,0.827583,0.876686,0.92007,0.95053,0.98565,1.02552,1.08674,1.13565,1.18838
macro_avg,id,51,0.0508963,0.0870729,0.13259,0.180716,0.22549,0.259815,0.287634,0.328347,0.373174,0.413177,0.446135,0.471793,0.49937,0.52025,0.543739,0.573667,0.59227,0.608517,0.62621,0.637764,0.651885,0.669833,0.68114,0.692173,0.704472,0.721361,0.735313,0.740377,0.747264
micro_avg,id,51,0.0508963,0.0870729,0.13259,0.180716,0.22549,0.259815,0.287634,0.328347,0.373174,0.413177,0.446135,0.471793,0.49937,0.52025,0.543739,0.573667,0.59227,0.608517,0.62621,0.637764,0.651885,0.669833,0.68114,0.692173,0.704472,0.721361,0.735313,0.740377,0.747264
macro_avg,ood_low,51,0.0832934,0.141983,0.202568,0.259421,0.303585,0.339618,0.377726,0.417867,0.456553,0.497965,0.539568,0.569367,0.594271,0.621162,0.643427,0.669219,0.693057,0.709374,0.724865,0.741004,0.753643,0.767341,0.781626,0.788394,0.794826,0.806042,0.80975,0.813736,0.821452
micro_avg,ood_low,51,0.0832934,0.141983,0.202568,0.259421,0.303585,0.339618,0.377726,0.417867,0.456553,0.497965,0.539568,0.569367,0.594271,0.621162,0.643427,0.669219,0.693057,0.709374,0.724865,0.741004,0.753643,0.767341,0.781626,0.788394,0.794826,0.806042,0.80975,0.813736,0.821452
macro_avg,ood_high,51,0.0663926,0.145858,0.201071,0.240678,0.297532,0.361463,0.411044,0.441604,0.470859,0.510313,0.545853,0.574213,0.593998,0.610616,0.636208,0.669384,0.690577,0.69676,0.704009,0.721613,0.742867,0.759893,0.7658,0.770932,0.787042,0.808449,0.826192,0.832015,0.838278
micro_avg,ood_high,51,0.0663926,0.145858,0.201071,0.240678,0.297532,0.361463,0.411044,0.441604,0.470859,0.510313,0.545853,0.574213,0.593998,0.610616,0.636208,0.669384,0.690577,0.69676,0.704009,0.721613,0.742867,0.759893,0.7658,0.770932,0.787042,0.808449,0.826192,0.832015,0.838278
