dataset,sim_id,condition,seed,parameter_overrides,numerical_overrides,nRMSE_1,nRMSE_2,nRMSE_3,nRMSE_4,nRMSE_5,nRMSE_6,nRMSE_7,nRMSE_8,nRMSE_9,nRMSE_10,nRMSE_11,nRMSE_12,nRMSE_13,nRMSE_14,nRMSE_15,nRMSE_16,nRMSE_17,nRMSE_18,nRMSE_19,nRMSE_20,nRMSE_21,nRMSE_22,nRMSE_23,nRMSE_24,nRMSE_25,nRMSE_26,nRMSE_27,nRMSE_28,nRMSE_29
gs_epsilon,7,ood_high,2026072202,"{""Feed Rate"": 0.021, ""Kill Rate"": 0.056}",{},0.031896959990262985,0.05951603502035141,0.08534375578165054,0.11003323644399643,0.13599561154842377,0.16304422914981842,0.18901373445987701,0.21108460426330566,0.22835056483745575,0.2422545999288559,0.25571101903915405,0.272860586643219,0.2969839870929718,0.33261677622795105,0.3818380534648895,0.43228042125701904,0.4746076464653015,0.5104075074195862,0.5408400297164917,0.5655120611190796,0.5854910612106323,0.6030610203742981,0.6214852333068848,0.6442205905914307,0.6723957657814026,0.7040534019470215,0.7360624670982361,0.7656592726707458,0.7912011742591858
gs_epsilon,8,ood_high,2026072203,"{""Feed Rate"": 0.021, ""Kill Rate"": 0.056}",{},0.02704077586531639,0.04525566101074219,0.06577043980360031,0.09687098860740662,0.14097799360752106,0.17426741123199463,0.20126491785049438,0.22377115488052368,0.2418639361858368,0.25558266043663025,0.2684493958950043,0.2847980856895447,0.3063759207725525,0.33347538113594055,0.3660277724266052,0.3967076241970062,0.4203549325466156,0.441688597202301,0.4660830795764923,0.4901631772518158,0.510563850402832,0.5286093950271606,0.544151246547699,0.5566509962081909,0.5680360198020935,0.5799536108970642,0.593323826789856,0.6095420718193054,0.6290609240531921
gs_theta,0,id,2026072201,"{""Feed Rate"": 0.04, ""Kill Rate"": 0.06}",{},0.020024718716740608,0.06701653450727463,0.25465577840805054,0.41295894980430603,0.4088921844959259,0.4064309597015381,0.49691078066825867,0.6181083917617798,0.7178246974945068,0.8072009682655334,0.8906722068786621,0.970549464225769,1.0210965871810913,1.0340300798416138,1.0564719438552856,1.0736819505691528,1.0906949043273926,1.099984884262085,1.100537896156311,1.0982568264007568,1.0803946256637573,1.06075918674469,1.0537463426589966,1.0498915910720825,1.0479273796081543,1.04593825340271,1.0448724031448364,1.0436992645263672,1.0427454710006714
gs_theta,1,id,2026072202,"{""Feed Rate"": 0.04, ""Kill Rate"": 0.06}",{},0.02173822559416294,0.051200706511735916,0.1541217863559723,0.2780616283416748,0.38927263021469116,0.42444470524787903,0.43979331851005554,0.524773120880127,0.6484827995300293,0.752744197845459,0.8221250772476196,0.8697661757469177,0.8954277634620667,0.9311332106590271,0.9686970114707947,1.0027457475662231,1.0172384977340698,1.01203191280365,0.9995715022087097,0.9923825860023499,0.989655077457428,0.989669680595398,0.9910020232200623,0.9914022088050842,0.991830587387085,0.9921222925186157,0.9916563034057617,0.9914583563804626,0.9916002750396729
gs_theta,2,id,2026072203,"{""Feed Rate"": 0.04, ""Kill Rate"": 0.06}",{},0.01956314779818058,0.07122035324573517,0.17609138786792755,0.26372265815734863,0.3061240613460541,0.36577293276786804,0.43527138233184814,0.5347962975502014,0.6346705555915833,0.7237960696220398,0.8084604144096375,0.8777799606323242,0.9346888661384583,0.9873980283737183,1.0149344205856323,1.0151174068450928,1.0190001726150513,1.0310969352722168,1.037911057472229,1.0453965663909912,1.0547387599945068,1.0536359548568726,1.0436091423034668,1.036806583404541,1.0317280292510986,1.0274038314819336,1.0275092124938965,1.0304149389266968,1.0325376987457275
gs_theta,3,ood_low,2026072201,"{""Feed Rate"": 0.038, ""Kill Rate"": 0.06}",{},0.05111942067742348,0.1267782300710678,0.34174349904060364,0.5744484663009644,0.6825860738754272,0.7513904571533203,0.8195639848709106,0.9070224165916443,1.0037705898284912,1.0712506771087646,1.1184834241867065,1.1427747011184692,1.1575946807861328,1.1816884279251099,1.198590636253357,1.1865780353546143,1.1780569553375244,1.1717960834503174,1.1525676250457764,1.1345571279525757,1.1259782314300537,1.114890456199646,1.104778528213501,1.0980522632598877,1.0979820489883423,1.0976319313049316,1.0985050201416016,1.0997421741485596,1.1004027128219604
gs_theta,4,ood_low,2026072202,"{""Feed Rate"": 0.038, ""Kill Rate"": 0.06}",{},0.051559146493673325,0.12141977250576019,0.30768394470214844,0.5237405896186829,0.6639447212219238,0.738723874092102,0.7988408207893372,0.8520938158035278,0.8879702687263489,0.9298967123031616,0.9632182717323303,0.9963341355323792,1.034999966621399,1.072813868522644,1.1169919967651367,1.1571460962295532,1.1744990348815918,1.1713746786117554,1.1421880722045898,1.1133276224136353,1.0841704607009888,1.0684492588043213,1.0614724159240723,1.0586230754852295,1.0563993453979492,1.054904580116272,1.053907036781311,1.0530768632888794,1.0527288913726807
gs_theta,5,ood_low,2026072203,"{""Feed Rate"": 0.038, ""Kill Rate"": 0.06}",{},0.048214271664619446,0.15777809917926788,0.36059337854385376,0.5119102001190186,0.5899364352226257,0.6251586675643921,0.6826802492141724,0.7469794154167175,0.8068063259124756,0.8563275933265686,0.9132397770881653,0.9629935026168823,1.0063234567642212,1.059098482131958,1.0926921367645264,1.104049801826477,1.113752841949463,1.1132947206497192,1.1142191886901855,1.1149073839187622,1.1131843328475952,1.1088308095932007,1.09823477268219,1.0785877704620361,1.0633325576782227,1.0507677793502808,1.044424295425415,1.0416946411132812,1.0394495725631714
gs_theta,6,ood_high,2026072201,"{""Feed Rate"": 0.042, ""Kill Rate"": 0.06}",{},0.04966335371136665,0.2693508267402649,0.38809439539909363,0.3455239534378052,0.40499448776245117,0.5880187153816223,0.6900002360343933,0.7036396861076355,0.7478814125061035,0.8077821731567383,0.8622044920921326,0.9173862338066101,0.9660575985908508,0.9811608791351318,1.0046488046646118,1.0295040607452393,1.0444629192352295,1.0422855615615845,1.038761019706726,1.0328863859176636,1.0223942995071411,1.0147740840911865,1.0078997611999512,1.0057915449142456,1.003519058227539,1.0019248723983765,1.000179409980774,0.9984567761421204,0.9974796772003174
gs_theta,7,ood_high,2026072202,"{""Feed Rate"": 0.042, ""Kill Rate"": 0.06}",{},0.04704521596431732,0.2426505833864212,0.4079897701740265,0.44307270646095276,0.4744771122932434,0.5161174535751343,0.5788635611534119,0.6422228217124939,0.6892641186714172,0.7405872344970703,0.7834749817848206,0.8189904093742371,0.8714011907577515,0.9264857769012451,0.9864192605018616,1.046730637550354,1.0776801109313965,1.07201087474823,1.0591405630111694,1.043981909751892,1.0300873517990112,1.027374029159546,1.0259710550308228,1.026375651359558,1.0271979570388794,1.0283904075622559,1.0297175645828247,1.0317001342773438,1.0335688591003418
